,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,day_of_week,last_updated_hour,time_interval,bike_uptime,dock_uptime,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
40,0.0,2980,2980,2980,4580409956183,24052,3326,86404,2438,35,8481,31900,29800,0.8050335570469799,0.9852348993288591,,24.0,14.0,,146.0,,2018-11-25 10:23:27 AM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,1.0,In Service,False,39.0
41,0.0,240,240,240,368898436890,3754,253,5156,197,6,480,4200,2400,0.9875,0.9333333333333333,,24.0,14.0,,146.0,,2018-11-25 10:23:27 AM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,1.0,In Service,False,39.0
42,0.0,359,359,359,551796484164,1946,339,11411,305,0,720,2872,3590,0.6601671309192201,1.0,,24.0,14.0,,146.0,,2018-11-25 10:23:27 AM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,1.0,In Service,False,39.0
43,0.0,720,720,720,1106679018790,2567,794,24127,592,5,3957,10453,7200,0.8569444444444444,1.0,,24.0,14.0,,146.0,,2018-11-25 10:23:27 AM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,1.0,In Service,False,39.0
44,0.0,2980,2980,2980,4580410343880,38711,2496,45213,0,43,8481,31900,29800,0.8416107382550335,0.9204697986577182,,0.0,29.0,,150.0,,2018-11-25 10:21:51 AM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,1.0,In Service,False,29.0
45,0.0,240,240,240,368898297757,346,97,6517,0,6,480,4200,2400,0.48333333333333334,1.0,,0.0,29.0,,150.0,,2018-11-25 10:21:51 AM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,1.0,In Service,False,29.0
46,0.0,359,359,359,551796567664,8014,312,2085,0,16,720,2872,3590,1.0,0.7576601671309192,,0.0,29.0,,150.0,,2018-11-25 10:21:51 AM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,1.0,In Service,False,29.0
47,0.0,720,720,720,1106679227037,8225,728,11927,0,9,3957,10453,7200,0.8430555555555556,0.9486111111111111,,0.0,29.0,,150.0,,2018-11-25 10:21:51 AM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,1.0,In Service,False,29.0
48,0.0,2980,2976,2976,4580410835088,21764,6350,69784,442,71,8481,31900,29800,0.8258389261744966,0.973489932885906,,30.0,2.0,,151.0,,2018-11-25 10:23:15 AM,40.722103786686034,,-73.99724900722504,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,1.0,In Service,False,33.0
49,0.0,240,236,236,368898502831,4988,332,2600,0,17,480,4200,2400,1.0,0.9541666666666667,,30.0,2.0,,151.0,,2018-11-25 10:23:15 AM,40.722103786686034,,-73.99724900722504,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,1.0,In Service,False,33.0
